Record_ID,Date,Store_Location,Region,Total_Employees,Full_Time_Employees,Part_Time_Employees,Seasonal_Employees,Employee_Turnover_Rate_%,Employee_Satisfaction_Score,Women_Employees_%,Minority_Employees_%,Employees_with_Disabilities_%,Diversity_Score,Community_Engagement_Hours,Charitable_Donations_usd,Local_Sourcing_%,Community_Programs,Health_Safety_Incidents,Lost_Time_Injuries,Safety_Training_Hours,Health_Safety_Score,Employee_Category,Program_Type,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
9784,2023-01-01,Store_031,West,140,50,58,32,19.91,3.1,31.52,37.27,14.11,42.9,92,4754,46.85,5,6,2,191,61.4,Full-Time,Wellness,Compliant,73.5,78.7,1,Weekend,Q1
16258,2023-01-01,Store_027,North,215,125,79,11,36.29,3.1,41.75,48.33,8.84,94.4,481,16339,60.12,12,0,3,181,91.4,Seasonal,Training,Compliant,91.2,89.1,1,Weekend,Q1
6708,2023-01-01,Store_016,South,198,71,86,41,34.47,3.3,42.74,43.71,3.78,74.3,46,24966,15.3,12,1,1,37,77.9,Full-Time,Training,Compliant,61.6,99.3,1,Weekend,Q1
18570,2023-01-01,Store_026,Central,114,80,5,29,5.29,4.9,36.03,40.46,9.5,49.4,447,21933,66.76,19,4,1,11,76.6,Full-Time,Training,Compliant,59.3,82.6,1,Weekend,Q1
862,2023-01-01,Store_028,North,171,91,61,19,15.6,4.4,46.31,11.17,8.83,90.3,333,49179,11.18,17,7,0,155,95.1,Full-Time,Wellness,Partial,56.7,84.9,1,Weekend,Q1
9721,2023-01-01,Store_030,Central,98,72,24,2,9.18,4.2,52.57,25.21,5.78,62.8,71,27402,27.21,10,6,3,126,85.9,Part-Time,Diversity,Compliant,59.0,83.3,1,Weekend,Q1
19239,2023-01-01,Store_026,Central,75,48,13,14,36.94,4.9,44.24,16.68,9.8,58.8,310,15061,30.54,17,8,3,55,65.7,Full-Time,Diversity,Partial,54.0,99.1,1,Weekend,Q1
2742,2023-01-01,Store_036,West,149,25,88,36,37.14,4.9,30.56,18.42,8.62,59.4,176,38180,45.57,1,6,3,34,76.5,Seasonal,Training,Compliant,77.8,76.6,1,Weekend,Q1
6666,2023-01-01,Store_023,West,167,110,55,2,8.07,4.7,45.69,22.19,9.25,84.4,2,42808,68.63,18,4,2,104,93.8,Part-Time,Wellness,Compliant,75.6,95.9,1,Weekend,Q1
18739,2023-01-01,Store_008,East,217,137,61,19,17.91,3.2,29.19,15.98,3.25,77.5,430,40359,18.1,11,1,0,45,95.0,Full-Time,Training,Compliant,67.5,75.5,1,Weekend,Q1
15558,2023-01-01,Store_039,Central,181,45,93,43,9.85,4.9,56.39,31.62,5.35,64.3,461,49894,15.35,0,4,2,79,90.0,Full-Time,Community,Compliant,87.6,80.5,1,Weekend,Q1
9592,2023-01-01,Store_034,East,220,105,75,40,35.54,3.1,46.57,39.18,2.51,72.1,259,31871,69.61,8,4,3,18,72.1,Full-Time,Wellness,Compliant,77.7,94.4,1,Weekend,Q1
15268,2023-01-01,Store_040,West,108,44,42,22,9.88,3.1,52.36,14.25,5.63,76.8,12,45771,37.51,6,9,1,10,89.2,Part-Time,Diversity,Compliant,56.0,85.8,1,Weekend,Q1
13923,2023-01-01,Store_018,West,105,39,57,9,26.6,4.9,35.27,15.26,7.59,81.1,378,24581,61.66,4,1,2,155,100.0,Full-Time,Wellness,Compliant,74.5,86.8,1,Weekend,Q1
1890,2023-01-01,Store_049,South,169,147,16,6,5.13,4.6,24.34,42.11,3.98,80.3,163,27745,38.61,16,1,0,191,89.7,Seasonal,Wellness,Compliant,99.3,81.1,1,Weekend,Q1
12631,2023-01-01,Store_025,South,145,67,45,33,34.07,4.0,48.4,21.52,6.34,93.5,364,1500,79.08,5,1,0,191,87.5,Full-Time,Training,Compliant,57.8,92.1,1,Weekend,Q1
19745,2023-01-01,Store_021,Central,248,112,99,37,30.62,3.2,40.67,11.14,3.09,55.1,49,7330,75.26,9,7,3,193,89.3,Full-Time,Training,Partial,77.9,97.2,1,Weekend,Q1
13466,2023-01-01,Store_024,North,236,133,99,4,11.76,3.9,30.76,28.62,13.6,59.2,376,17829,46.16,11,1,2,63,73.8,Full-Time,Training,Non-Compliant,71.0,89.5,1,Weekend,Q1
11502,2023-01-01,Store_033,East,124,56,30,38,13.62,4.2,25.92,34.53,8.85,49.3,33,15376,42.2,7,7,0,165,90.2,Full-Time,Wellness,Compliant,52.2,91.5,1,Weekend,Q1
8314,2023-01-01,Store_013,Central,76,34,16,26,25.9,4.2,25.32,13.14,10.01,87.8,422,38174,35.59,4,4,1,188,82.6,Full-Time,Diversity,Compliant,90.7,90.4,1,Weekend,Q1
13441,2023-01-01,Store_014,West,171,106,31,34,25.08,4.1,24.99,36.96,10.02,51.0,76,35400,48.35,4,3,1,133,82.0,Full-Time,Wellness,Compliant,53.9,99.1,1,Weekend,Q1
5349,2023-01-01,Store_023,West,179,109,39,31,39.23,3.2,22.9,22.5,10.53,47.1,462,5888,77.17,19,0,3,41,92.9,Full-Time,Community,Compliant,76.3,76.1,1,Weekend,Q1
6736,2023-01-01,Store_015,West,220,140,63,17,34.49,4.9,58.04,38.12,5.76,57.4,299,27204,10.3,7,7,3,12,82.8,Full-Time,Wellness,Compliant,57.7,94.5,1,Weekend,Q1
8310,2023-01-01,Store_048,West,153,59,86,8,21.17,4.6,33.49,19.8,10.67,40.2,110,18787,13.82,3,6,1,51,97.0,Seasonal,Wellness,Compliant,62.4,91.0,1,Weekend,Q1
16489,2023-01-01,Store_037,South,111,33,42,36,35.95,3.3,38.23,14.54,3.47,85.6,139,28602,74.32,8,1,1,124,67.4,Full-Time,Training,Compliant,88.9,75.9,1,Weekend,Q1
15818,2023-01-01,Store_050,West,114,41,41,32,20.5,3.3,34.84,21.9,3.83,73.3,438,17927,41.91,1,8,0,55,67.9,Seasonal,Training,Partial,81.1,81.8,1,Weekend,Q1
9128,2023-01-01,Store_002,Central,180,77,73,30,13.46,3.1,41.41,33.41,5.3,76.3,256,4914,33.66,13,6,1,195,90.0,Seasonal,Diversity,Partial,56.0,94.9,1,Weekend,Q1
14374,2023-01-01,Store_010,Central,79,38,9,32,12.19,4.5,46.73,36.68,9.41,58.0,406,43431,23.48,10,5,2,183,87.4,Full-Time,Community,Compliant,62.7,75.0,1,Weekend,Q1
3444,2023-01-01,Store_004,East,103,23,70,10,29.43,3.4,38.29,12.86,13.35,54.3,251,23904,60.05,4,7,1,100,74.2,Full-Time,Community,Compliant,89.9,98.7,1,Weekend,Q1
7789,2023-01-01,Store_004,East,73,24,29,20,5.35,3.4,58.8,35.14,4.4,60.4,418,12011,61.67,2,0,4,112,96.3,Full-Time,Wellness,Partial,64.3,93.8,1,Weekend,Q1
801,2023-01-01,Store_046,South,63,49,9,5,23.15,4.6,49.65,41.54,7.98,61.3,168,8253,60.93,9,0,3,74,69.3,Part-Time,Community,Partial,77.7,94.2,1,Weekend,Q1
11312,2023-01-01,Store_025,Central,236,103,96,37,29.47,4.7,54.48,12.92,3.87,40.4,30,45209,44.47,14,5,3,176,89.8,Full-Time,Community,Compliant,83.3,85.3,1,Weekend,Q1
2219,2023-01-03,Store_025,East,85,44,18,23,34.17,4.5,25.55,10.81,12.48,68.3,407,33430,48.4,17,4,4,190,94.9,Part-Time,Training,Compliant,84.6,84.2,1,Weekday,Q1
13820,2023-01-03,Store_035,South,103,61,39,3,29.09,4.9,58.39,49.46,6.22,85.1,281,8863,77.99,9,6,3,34,64.3,Full-Time,Community,Compliant,64.5,91.0,1,Weekday,Q1
15911,2023-01-03,Store_015,East,147,102,27,18,18.16,4.0,21.84,23.81,6.26,62.3,268,26733,56.24,18,9,0,124,76.1,Part-Time,Wellness,Non-Compliant,81.7,96.8,1,Weekday,Q1
4901,2023-01-03,Store_021,West,176,146,5,25,26.89,3.4,32.97,15.49,11.92,58.2,493,47337,52.42,18,9,2,164,70.6,Part-Time,Diversity,Compliant,99.4,81.7,1,Weekday,Q1
19836,2023-01-03,Store_037,Central,188,78,76,34,17.85,4.0,49.67,37.86,12.79,66.2,24,42667,64.97,0,4,4,28,61.1,Seasonal,Diversity,Compliant,86.7,90.7,1,Weekday,Q1
1565,2023-01-03,Store_048,Central,237,140,84,13,33.45,4.9,52.77,23.81,8.59,41.6,98,20323,22.69,12,5,4,189,72.4,Full-Time,Wellness,Compliant,54.8,76.2,1,Weekday,Q1
12116,2023-01-03,Store_024,North,194,99,57,38,37.09,4.1,36.6,26.69,14.18,45.8,278,27889,28.14,14,7,1,157,87.9,Part-Time,Training,Compliant,68.0,76.3,1,Weekday,Q1
6900,2023-01-03,Store_015,East,131,31,81,19,31.14,4.6,20.76,19.08,6.79,92.3,327,31346,14.5,6,7,1,16,93.1,Part-Time,Training,Compliant,84.7,83.8,1,Weekday,Q1
1836,2023-01-03,Store_028,East,185,129,8,48,9.62,4.7,57.1,34.87,4.45,75.8,224,45945,79.74,19,1,3,103,71.7,Part-Time,Diversity,Compliant,68.5,83.3,1,Weekday,Q1
18417,2023-01-03,Store_031,Central,150,31,76,43,25.43,3.8,30.7,17.05,10.19,83.3,430,17231,47.73,0,0,4,112,99.0,Part-Time,Wellness,Compliant,55.8,92.8,1,Weekday,Q1
14465,2023-01-03,Store_045,South,227,121,64,42,35.27,3.1,20.53,41.63,3.16,50.8,400,13517,63.62,15,8,0,26,93.2,Part-Time,Diversity,Compliant,62.0,98.7,1,Weekday,Q1
19821,2023-01-03,Store_031,East,173,129,37,7,39.27,3.4,27.74,24.41,12.93,55.0,417,47748,21.14,18,1,0,121,71.6,Full-Time,Wellness,Partial,73.8,82.6,1,Weekday,Q1
4639,2023-01-03,Store_003,East,162,59,77,26,24.39,4.9,52.01,47.2,3.43,41.7,38,30676,37.49,17,2,4,113,60.5,Full-Time,Training,Compliant,83.3,88.7,1,Weekday,Q1
11940,2023-01-03,Store_048,West,164,142,6,16,34.22,3.2,46.06,31.34,14.01,45.1,167,45947,11.92,13,9,4,141,76.6,Part-Time,Community,Compliant,81.5,80.5,1,Weekday,Q1
204,2023-01-03,Store_029,North,177,119,54,4,13.55,3.5,46.85,36.09,9.15,58.9,484,35834,29.32,7,9,4,78,90.4,Full-Time,Wellness,Compliant,73.8,83.8,1,Weekday,Q1
11348,2023-01-03,Store_008,East,201,76,90,35,13.33,3.1,27.1,19.57,5.75,94.6,404,27494,69.36,10,2,4,11,86.8,Full-Time,Community,Partial,68.6,80.4,1,Weekday,Q1
10316,2023-01-03,Store_045,West,89,75,6,8,22.31,3.8,58.73,15.79,10.65,49.5,285,436,13.12,2,8,3,101,96.0,Full-Time,Community,Non-Compliant,98.7,93.6,1,Weekday,Q1
13275,2023-01-03,Store_004,North,119,60,28,31,34.95,3.8,33.22,47.51,9.01,51.1,368,38343,79.57,9,4,4,46,61.8,Seasonal,Training,Compliant,77.8,96.8,1,Weekday,Q1
1503,2023-01-03,Store_049,North,259,133,98,28,30.21,3.8,30.33,38.47,12.89,64.5,359,2834,47.71,3,7,1,179,76.2,Full-Time,Wellness,Partial,54.9,91.5,1,Weekday,Q1
3321,2023-01-03,Store_038,North,139,93,41,5,35.46,4.3,54.28,25.83,4.8,89.1,36,13349,36.38,17,2,2,102,96.2,Part-Time,Wellness,Compliant,55.4,76.8,1,Weekday,Q1
9944,2023-01-03,Store_045,West,167,124,28,15,25.95,5.0,45.73,28.89,13.6,40.3,389,34435,16.88,12,1,3,101,91.1,Full-Time,Diversity,Compliant,71.3,81.2,1,Weekday,Q1
12238,2023-01-03,Store_025,East,203,91,94,18,6.78,4.3,58.04,14.82,6.86,52.0,82,27136,60.3,6,9,2,186,89.5,Full-Time,Training,Compliant,61.4,92.2,1,Weekday,Q1
11773,2023-01-03,Store_030,East,178,55,96,27,37.08,3.3,35.43,13.86,7.34,61.8,96,39344,33.32,6,2,1,33,77.8,Full-Time,Diversity,Compliant,73.4,95.2,1,Weekday,Q1
3622,2023-01-03,Store_006,North,124,35,72,17,13.17,3.7,25.11,47.46,14.32,59.3,6,6802,13.68,7,8,2,160,61.0,Full-Time,Diversity,Partial,69.5,96.7,1,Weekday,Q1
6339,2023-01-03,Store_004,Central,170,54,82,34,37.98,3.1,22.0,20.59,2.14,61.7,84,49200,38.57,1,2,2,127,84.6,Full-Time,Training,Compliant,56.9,76.9,1,Weekday,Q1
17053,2023-01-03,Store_026,North,215,102,85,28,35.98,3.8,21.36,11.57,7.38,72.3,26,29776,54.35,2,0,1,172,78.9,Full-Time,Training,Compliant,60.4,82.0,1,Weekday,Q1
18427,2023-01-03,Store_045,Central,180,63,97,20,15.23,4.6,29.19,15.19,14.41,69.9,66,722,19.76,3,9,0,101,83.6,Full-Time,Community,Non-Compliant,99.2,82.5,1,Weekday,Q1
4575,2023-01-03,Store_033,North,161,81,46,34,8.31,3.1,37.34,11.14,2.1,81.7,91,20543,22.77,12,3,4,191,76.1,Full-Time,Training,Partial,59.3,94.5,1,Weekday,Q1
19636,2023-01-03,Store_035,Central,157,83,72,2,23.49,4.9,39.87,13.28,14.44,88.4,229,32832,63.51,4,1,1,157,89.7,Full-Time,Training,Non-Compliant,53.2,96.2,1,Weekday,Q1
362,2023-01-03,Store_031,South,251,135,85,31,39.21,4.1,24.04,25.64,7.76,53.1,281,5057,49.74,19,7,2,168,64.0,Part-Time,Training,Partial,83.9,82.6,1,Weekday,Q1
6808,2023-01-03,Store_024,East,145,57,79,9,8.91,4.3,22.72,41.37,7.11,93.2,158,3639,49.86,10,1,2,19,73.6,Part-Time,Community,Compliant,75.0,88.2,1,Weekday,Q1
2259,2023-01-03,Store_001,West,244,131,69,44,19.89,4.7,33.34,27.98,10.43,46.7,144,30881,55.75,7,7,3,101,82.5,Full-Time,Training,Compliant,65.2,84.3,1,Weekday,Q1
19019,2023-01-03,Store_043,Central,213,109,65,39,9.53,4.9,23.65,48.43,9.95,85.7,59,31272,22.42,4,2,1,83,84.6,Full-Time,Training,Compliant,78.0,81.9,1,Weekday,Q1
14114,2023-01-03,Store_042,West,235,130,83,22,24.91,4.7,38.25,34.29,9.68,68.3,96,29882,48.29,10,1,0,36,99.4,Seasonal,Training,Compliant,97.5,90.5,1,Weekday,Q1
15318,2023-01-03,Store_012,Central,148,56,46,46,23.21,4.5,33.0,16.27,8.73,42.8,206,11144,17.01,7,8,3,50,62.3,Full-Time,Training,Compliant,94.0,89.1,1,Weekday,Q1
6114,2023-01-03,Store_033,South,113,50,30,33,29.34,4.2,22.99,44.24,8.15,94.6,361,27793,18.87,18,8,2,194,92.6,Full-Time,Training,Non-Compliant,82.0,91.4,1,Weekday,Q1
2531,2023-01-03,Store_021,South,122,39,62,21,14.44,3.0,48.55,32.26,8.65,71.8,69,9293,72.6,14,5,2,169,96.0,Part-Time,Training,Compliant,85.9,99.2,1,Weekday,Q1
8828,2023-01-03,Store_050,West,41,22,17,2,7.66,4.1,56.99,34.26,5.93,55.1,316,26373,53.83,7,1,1,57,82.4,Seasonal,Training,Compliant,84.2,84.1,1,Weekday,Q1
2541,2023-01-03,Store_002,East,118,62,55,1,21.68,3.9,20.92,37.6,8.35,83.3,368,19207,41.59,19,9,4,98,65.0,Full-Time,Training,Compliant,52.3,84.2,1,Weekday,Q1
1060,2023-01-03,Store_046,East,201,102,60,39,10.22,3.3,28.77,27.02,6.23,91.3,386,8188,15.9,12,7,0,159,90.1,Full-Time,Community,Compliant,94.8,79.4,1,Weekday,Q1
17669,2023-01-03,Store_012,North,238,144,56,38,38.55,4.8,44.1,22.79,8.0,75.7,403,19051,58.05,0,8,1,100,65.6,Full-Time,Community,Compliant,59.5,96.5,1,Weekday,Q1
10580,2023-01-03,Store_020,South,164,101,42,21,27.44,4.1,44.82,46.25,8.63,41.6,457,235,58.89,15,4,4,72,87.4,Seasonal,Wellness,Compliant,54.3,82.6,1,Weekday,Q1
18810,2023-01-03,Store_036,West,128,95,16,17,32.55,4.0,37.63,22.42,5.25,49.6,450,7272,28.19,14,9,3,152,93.0,Part-Time,Training,Partial,92.2,98.3,1,Weekday,Q1
17909,2023-01-03,Store_048,Central,140,67,62,11,32.37,4.5,53.17,15.75,3.99,74.0,160,47199,49.8,11,9,3,177,64.1,Full-Time,Training,Compliant,60.2,84.6,1,Weekday,Q1
32,2023-01-03,Store_016,West,206,122,42,42,32.97,4.7,38.06,28.26,7.84,62.5,13,32645,23.63,13,9,4,71,67.7,Full-Time,Wellness,Compliant,53.1,90.1,1,Weekday,Q1
14308,2023-01-03,Store_022,Central,281,146,95,40,13.91,4.1,24.68,12.79,11.74,66.8,326,41379,52.43,13,8,3,66,77.9,Seasonal,Training,Compliant,82.8,75.5,1,Weekday,Q1
2177,2023-01-03,Store_043,Central,130,46,37,47,8.84,4.4,45.06,13.21,14.69,85.4,333,43188,76.78,14,6,1,198,76.6,Full-Time,Community,Partial,72.2,90.0,1,Weekday,Q1
943,2023-01-03,Store_045,Central,161,72,60,29,8.88,3.8,43.08,13.49,12.84,48.0,1,49150,49.63,10,0,4,51,73.4,Full-Time,Training,Compliant,75.3,83.5,1,Weekday,Q1
12778,2023-01-03,Store_019,South,181,101,55,25,38.5,3.6,57.43,44.55,12.71,46.4,83,20356,56.26,5,6,0,149,69.8,Full-Time,Wellness,Non-Compliant,98.3,83.8,1,Weekday,Q1
12489,2023-01-03,Store_041,West,142,50,61,31,18.43,4.3,53.66,32.64,11.86,55.3,198,39613,69.83,18,7,2,127,79.9,Seasonal,Training,Compliant,55.2,82.3,1,Weekday,Q1
1214,2023-01-03,Store_003,West,203,102,81,20,28.66,4.4,58.53,41.15,11.29,92.7,376,34431,73.48,10,8,2,163,74.8,Full-Time,Training,Partial,55.9,80.3,1,Weekday,Q1
9303,2023-01-03,Store_033,West,75,41,29,5,16.23,4.5,55.1,27.79,4.82,78.1,383,4396,22.21,12,2,3,141,83.7,Full-Time,Training,Non-Compliant,88.8,77.3,1,Weekday,Q1
18069,2023-01-03,Store_005,West,180,95,82,3,9.52,4.7,37.55,13.43,4.86,91.0,425,2444,22.77,7,6,1,189,94.3,Seasonal,Wellness,Compliant,99.7,83.1,1,Weekday,Q1
4977,2023-01-03,Store_009,Central,151,86,36,29,18.85,3.8,53.91,31.53,6.28,40.5,53,10624,75.28,15,0,0,35,90.7,Full-Time,Training,Compliant,92.4,93.1,1,Weekday,Q1
19863,2023-01-03,Store_019,West,126,35,43,48,29.42,3.2,21.66,37.02,7.4,48.1,233,9389,34.7,12,0,2,139,94.0,Seasonal,Training,Non-Compliant,93.7,98.7,1,Weekday,Q1
6163,2023-01-03,Store_023,West,106,40,26,40,17.74,4.7,35.79,37.82,2.04,88.3,244,15678,59.0,11,4,4,108,68.0,Full-Time,Training,Compliant,89.6,99.9,1,Weekday,Q1
11849,2023-01-03,Store_019,South,145,98,23,24,28.9,3.3,55.89,32.63,2.08,53.0,219,27979,40.05,4,2,3,12,81.8,Seasonal,Wellness,Non-Compliant,77.7,94.2,1,Weekday,Q1
9326,2023-01-03,Store_003,North,91,66,12,13,20.55,4.6,37.01,46.11,7.06,42.4,79,33706,51.56,11,1,4,35,91.0,Full-Time,Wellness,Partial,56.4,93.4,1,Weekday,Q1
5821,2023-01-03,Store_031,West,49,33,11,5,21.28,4.7,53.74,45.09,12.06,68.1,141,41426,57.58,4,4,4,80,65.0,Part-Time,Community,Compliant,81.9,97.9,1,Weekday,Q1
19280,2023-01-03,Store_024,North,70,33,7,30,5.91,3.2,56.63,34.66,3.31,72.4,195,45239,13.49,12,5,2,111,94.5,Part-Time,Training,Compliant,50.6,75.3,1,Weekday,Q1
5640,2023-01-03,Store_021,East,112,49,54,9,38.44,3.8,53.95,48.07,5.58,62.1,262,30946,54.78,13,4,4,177,82.0,Full-Time,Diversity,Compliant,60.5,80.9,1,Weekday,Q1
6415,2023-01-03,Store_032,South,155,43,66,46,39.02,3.0,24.33,14.96,13.04,88.7,425,19306,62.07,11,9,3,86,68.0,Full-Time,Training,Compliant,67.4,86.4,1,Weekday,Q1
17623,2023-01-03,Store_045,South,212,121,65,26,11.21,4.9,55.96,35.09,13.11,41.2,339,3730,41.63,6,5,1,93,97.7,Seasonal,Wellness,Compliant,85.1,89.4,1,Weekday,Q1
6500,2023-01-03,Store_022,East,79,56,6,17,20.2,4.3,24.07,15.34,7.63,87.2,451,2214,26.76,18,6,4,34,61.0,Full-Time,Training,Compliant,51.2,93.2,1,Weekday,Q1
1327,2023-01-03,Store_046,Central,144,35,74,35,12.05,4.0,59.6,17.56,2.33,47.0,297,39205,45.81,1,0,1,167,66.7,Full-Time,Wellness,Non-Compliant,72.0,81.2,1,Weekday,Q1
9028,2023-01-03,Store_044,West,138,24,69,45,22.39,3.1,37.29,20.6,9.18,45.1,204,47417,55.34,0,2,4,72,100.0,Seasonal,Wellness,Partial,85.0,82.7,1,Weekday,Q1
19891,2023-01-03,Store_009,East,152,111,28,13,33.75,3.3,31.28,17.93,2.67,56.6,330,27193,32.74,17,3,0,120,91.8,Full-Time,Wellness,Non-Compliant,58.7,90.3,1,Weekday,Q1
12554,2023-01-03,Store_037,North,135,96,38,1,15.6,4.6,38.69,25.43,4.86,40.0,236,25615,33.21,10,6,1,177,78.3,Full-Time,Wellness,Compliant,84.8,94.6,1,Weekday,Q1
56,2023-01-03,Store_049,North,171,93,37,41,34.68,4.2,56.64,27.34,6.63,67.3,96,41960,37.0,14,4,1,136,73.5,Full-Time,Wellness,Compliant,78.7,99.7,1,Weekday,Q1
2485,2023-01-03,Store_024,South,62,25,36,1,14.05,4.1,58.06,37.47,7.94,56.8,468,5289,66.51,17,7,3,123,81.2,Full-Time,Training,Partial,87.8,85.1,1,Weekday,Q1
9877,2023-01-03,Store_033,East,134,107,15,12,33.53,4.1,22.61,17.3,4.54,90.3,208,375,20.81,15,5,3,22,81.7,Full-Time,Wellness,Compliant,90.1,85.6,1,Weekday,Q1
19633,2023-01-07,Store_045,East,153,116,17,20,35.31,3.9,25.96,38.7,12.08,46.8,257,18208,37.14,2,7,2,33,95.5,Full-Time,Community,Partial,54.0,96.6,1,Weekend,Q1
18084,2023-01-07,Store_036,Central,163,45,88,30,23.02,4.5,44.12,49.61,10.75,43.6,481,17764,77.46,18,4,3,183,98.1,Part-Time,Diversity,Non-Compliant,64.4,99.7,1,Weekend,Q1
10021,2023-01-07,Store_015,Central,122,94,18,10,19.48,3.9,25.5,33.54,11.5,59.9,232,31530,52.15,14,1,4,33,74.9,Seasonal,Training,Non-Compliant,96.4,83.9,1,Weekend,Q1
8614,2023-01-07,Store_044,West,195,75,74,46,39.15,3.1,51.52,30.46,11.77,66.2,201,30993,75.6,4,6,3,45,62.3,Part-Time,Diversity,Compliant,95.4,87.2,1,Weekend,Q1
10582,2023-01-07,Store_039,East,227,133,49,45,29.94,4.1,42.91,19.75,4.66,67.5,467,48681,61.83,16,6,2,105,72.6,Full-Time,Training,Compliant,68.1,94.9,1,Weekend,Q1
6226,2023-01-07,Store_032,West,98,87,10,1,6.95,3.4,54.51,10.84,4.66,80.2,221,9486,56.65,9,1,2,169,64.6,Full-Time,Diversity,Non-Compliant,54.9,81.4,1,Weekend,Q1
6074,2023-01-07,Store_009,Central,172,51,90,31,17.16,3.7,33.95,36.72,7.51,57.1,105,43883,25.88,4,9,3,83,88.2,Full-Time,Community,Compliant,76.6,98.6,1,Weekend,Q1
7088,2023-01-07,Store_044,South,89,26,23,40,15.98,3.8,31.25,17.3,9.02,58.1,375,36225,62.29,7,8,3,94,84.1,Part-Time,Wellness,Compliant,70.3,91.7,1,Weekend,Q1
11499,2023-01-07,Store_028,Central,159,31,80,48,18.39,4.0,21.26,20.02,4.99,69.0,95,41024,54.87,19,9,0,44,83.4,Full-Time,Training,Non-Compliant,92.8,76.1,1,Weekend,Q1
15218,2023-01-07,Store_008,North,152,86,28,38,29.24,3.4,33.44,23.35,11.19,85.1,33,19107,26.82,12,8,0,193,97.8,Full-Time,Training,Non-Compliant,81.1,99.7,1,Weekend,Q1
1796,2023-01-07,Store_035,East,114,97,5,12,22.64,3.6,42.89,33.82,9.16,49.8,68,9523,54.55,14,0,0,83,79.1,Part-Time,Wellness,Compliant,69.9,77.6,1,Weekend,Q1
16823,2023-01-07,Store_048,South,231,95,92,44,35.82,4.7,54.26,40.21,2.61,62.2,260,41267,37.41,15,2,1,89,95.7,Full-Time,Community,Compliant,66.3,80.7,1,Weekend,Q1
11218,2023-01-07,Store_048,North,156,61,81,14,20.93,4.8,46.0,19.51,11.95,49.2,216,48675,11.58,19,7,4,113,71.5,Full-Time,Training,Partial,88.9,93.7,1,Weekend,Q1
