Record_ID,Date,Store_Location,Region,Total_Waste_Generated_kg,Waste_Recycled_kg,Waste_Landfill_kg,Waste_Composted_kg,Hazardous_Waste_kg,Waste_Recycling_Rate_%,Water_Usage_liters,Water_Recycled_liters,Energy_Consumption_kwh,Renewable_Energy_kwh,Carbon_Emissions_kg_co2,Waste_Category,Disposal_Method,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
16867,2023-01-01,Store_038,North,3869.92,2092.52,1199.33,597.88,262.34,25.65,35242.8,16972.78,3226.99,4812.97,2149.56,Packaging,Composting,Non-Compliant,93.0,82.5,1,Weekend,Q1
17640,2023-01-01,Store_015,Central,4466.49,4339.92,2330.62,567.2,114.82,22.33,43377.76,8668.7,14811.05,5498.3,2912.35,Plastic,Recycling,Partial,99.1,86.3,1,Weekend,Q1
17007,2023-01-01,Store_050,West,4025.32,1517.82,2902.38,1013.56,432.27,55.02,28050.4,40778.37,13644.2,11741.17,381.15,Paper,Recycling,Non-Compliant,55.1,94.2,1,Weekend,Q1
14332,2023-01-01,Store_024,East,4201.6,1406.69,1021.79,944.5,217.19,88.41,45402.87,11523.55,6357.38,10807.86,2481.14,Packaging,Recycling,Compliant,99.7,84.8,1,Weekend,Q1
1786,2023-01-01,Store_013,East,561.71,449.36800000000005,590.37,1865.08,400.95,78.91,39378.16,34105.8,2712.74,5703.24,2145.26,Paper,Recycling,Compliant,92.2,83.0,1,Weekend,Q1
7252,2023-01-01,Store_015,South,959.65,863.71,1635.77,1122.97,124.89,92.4,27684.68,21636.22,1089.84,4273.6,2338.64,Packaging,Recycling,Compliant,99.5,91.2,1,Weekend,Q1
16430,2023-01-01,Store_019,South,1339.91,1071.928,2293.01,1325.27,77.61,21.57,19123.73,38859.89,9365.18,8632.52,1046.42,Food,Landfill,Partial,53.0,77.1,1,Weekend,Q1
17579,2023-01-01,Store_050,Central,2815.58,653.6,2578.12,597.1,265.89,51.66,9389.57,44165.35,10059.81,11745.83,4404.16,Food,Landfill,Compliant,83.2,86.9,1,Weekend,Q1
16246,2023-01-01,Store_043,West,3501.76,3437.14,2124.23,1017.47,33.72,39.06,43128.62,39065.01,12692.92,7606.92,2349.15,Packaging,Recycling,Compliant,70.7,80.0,1,Weekend,Q1
14602,2023-01-01,Store_007,Central,3653.85,1119.37,2926.78,793.73,348.25,66.55,9407.87,43315.76,2521.94,6448.88,3797.95,Packaging,Recycling,Compliant,68.9,94.4,1,Weekend,Q1
2787,2023-01-01,Store_044,South,4788.83,572.64,402.15,1233.97,200.55,51.91,15234.12,28064.58,650.79,2023.78,2585.2,Food,Landfill,Compliant,88.4,87.5,1,Weekend,Q1
10232,2023-01-01,Store_019,East,4289.96,3431.9680000000003,2382.13,1307.47,266.37,27.97,31273.43,35073.01,2568.02,8840.37,3108.57,Packaging,Recycling,Compliant,67.2,75.8,1,Weekend,Q1
2194,2023-01-01,Store_034,West,2295.43,1836.344,71.08,956.72,148.23,29.34,34899.05,1696.11,8077.11,4264.75,1839.34,Packaging,Composting,Partial,81.1,96.0,1,Weekend,Q1
3620,2023-01-01,Store_023,Central,213.04,170.43200000000002,799.77,997.33,106.42,52.49,47832.21,10535.75,8025.72,5195.06,787.92,Packaging,Recycling,Compliant,86.9,80.5,1,Weekend,Q1
13080,2023-01-01,Store_026,Central,2321.27,1857.016,856.7,1996.42,234.71,69.3,49012.65,22936.96,1670.33,4977.24,1949.04,Food,Recycling,Compliant,56.9,85.5,1,Weekend,Q1
7410,2023-01-01,Store_022,Central,3642.34,886.33,2713.9,1910.77,241.86,26.66,35740.96,17986.91,11584.95,1685.82,459.06,Packaging,Recycling,Partial,56.9,87.8,1,Weekend,Q1
2025,2023-01-01,Store_026,Central,1184.54,947.6320000000001,439.28,1300.87,72.88,66.39,45427.42,18274.75,6732.04,11036.42,1594.63,Plastic,Recycling,Compliant,71.6,93.6,1,Weekend,Q1
6444,2023-01-01,Store_040,West,149.8,119.84000000000002,1898.96,1803.98,209.45,45.34,47322.5,5945.57,14223.82,8835.85,4749.85,Plastic,Composting,Non-Compliant,71.2,85.3,1,Weekend,Q1
1833,2023-01-01,Store_026,West,1915.84,1728.98,1072.94,1399.79,366.43,63.84,20794.38,19629.95,8762.29,11103.96,2139.68,Packaging,Composting,Non-Compliant,72.5,86.0,1,Weekend,Q1
7578,2023-01-01,Store_041,Central,3022.59,1502.3,829.93,1467.36,289.73,79.75,30856.62,36471.21,1187.45,4704.97,4974.05,Packaging,Composting,Non-Compliant,89.1,97.1,1,Weekend,Q1
11167,2023-01-01,Store_012,Central,4455.92,1000.93,487.44,1588.51,72.64,86.67,17136.48,29781.61,7138.85,10178.72,4282.33,Packaging,Composting,Compliant,92.4,88.9,1,Weekend,Q1
13173,2023-01-01,Store_047,East,3708.31,2250.74,2197.17,1079.03,431.19,63.59,42667.53,5054.85,13106.82,11140.89,3767.81,Packaging,Composting,Compliant,64.1,95.8,1,Weekend,Q1
6449,2023-01-01,Store_009,West,2251.3,1881.14,1006.29,176.55,436.57,60.69,5929.98,18370.24,1647.01,2001.48,2547.76,Packaging,Landfill,Compliant,70.9,91.0,1,Weekend,Q1
10714,2023-01-01,Store_028,West,1865.33,1492.2640000000001,2484.94,365.49,61.03,20.68,30896.17,24663.23,2786.1,9406.39,2851.13,Packaging,Recycling,Partial,82.9,86.6,1,Weekend,Q1
8981,2023-01-01,Store_008,South,643.42,514.736,2391.62,235.76,342.33,61.01,11926.79,42672.91,1135.78,7392.88,1329.18,Packaging,Composting,Compliant,68.3,87.6,1,Weekend,Q1
4498,2023-01-01,Store_004,East,4928.47,3535.01,203.33,1072.8,495.25,24.71,15437.78,28806.38,8483.86,2136.23,4149.36,Food,Recycling,Compliant,99.0,92.1,1,Weekend,Q1
3371,2023-01-01,Store_016,North,1560.23,1248.1840000000002,1347.72,406.23,55.97,80.19,23000.37,33831.53,5737.98,6915.34,765.39,Packaging,Landfill,Compliant,69.2,99.0,1,Weekend,Q1
14504,2023-01-01,Store_002,West,1543.01,1234.4080000000001,168.49,235.24,77.33,49.87,25980.88,5650.42,2999.61,6152.7,2825.39,Packaging,Composting,Compliant,97.3,79.1,1,Weekend,Q1
12339,2023-01-01,Store_009,Central,2191.32,1772.85,287.77,625.01,499.04,40.25,2640.48,17059.32,8696.03,7784.95,2743.82,Food,Composting,Compliant,79.4,88.3,1,Weekend,Q1
5237,2023-01-01,Store_004,Central,2653.35,1033.15,303.68,275.34,329.41,63.79,36718.28,21576.37,9087.67,4607.86,4875.59,Packaging,Landfill,Compliant,84.8,95.2,1,Weekend,Q1
3767,2023-01-01,Store_042,North,409.96,327.968,556.99,260.54,143.51,46.05,17242.73,14307.27,13838.82,2557.54,813.52,Plastic,Recycling,Compliant,53.0,88.0,1,Weekend,Q1
1813,2023-01-01,Store_028,South,4686.27,1484.76,277.71,1053.47,455.72,89.81,23610.3,6103.57,6062.42,7419.29,1374.54,Food,Landfill,Compliant,97.3,85.2,1,Weekend,Q1
13743,2023-01-01,Store_030,Central,1771.39,1417.112,2597.05,1496.8,115.68,62.62,22061.14,38226.98,7454.57,3692.32,4882.14,Packaging,Recycling,Compliant,80.6,89.6,1,Weekend,Q1
12963,2023-01-01,Store_048,West,1627.52,1491.4,2698.18,1609.1,81.91,23.94,42596.23,702.57,10846.79,6375.51,213.7,Paper,Incineration,Partial,75.6,82.9,1,Weekend,Q1
6485,2023-01-01,Store_006,North,3258.68,2606.944,2067.27,1129.26,93.86,37.24,41372.38,38114.99,1671.74,840.17,1128.42,Food,Landfill,Compliant,84.4,99.9,1,Weekend,Q1
17462,2023-01-01,Store_030,West,4830.63,4194.64,1924.33,636.56,140.03,25.88,4119.37,17444.34,13062.42,9047.7,4217.67,Paper,Composting,Non-Compliant,82.0,99.4,1,Weekend,Q1
18946,2023-01-02,Store_025,East,1127.7,902.1600000000001,1625.32,36.86,19.99,36.82,7354.93,34049.83,12455.98,532.43,3186.04,Plastic,Recycling,Compliant,50.0,92.7,1,Weekday,Q1
2676,2023-01-02,Store_011,West,312.81,144.09,2462.2,910.5,421.5,93.8,15706.96,20914.25,10340.26,6038.85,352.47,Packaging,Recycling,Non-Compliant,72.4,78.9,1,Weekday,Q1
1231,2023-01-02,Store_011,North,2932.77,653.83,1082.95,644.39,364.24,78.27,11583.17,36131.8,5371.96,9845.33,3670.08,Food,Landfill,Compliant,76.5,99.7,1,Weekday,Q1
6688,2023-01-02,Store_045,West,992.61,794.0880000000001,667.72,1460.39,370.19,81.04,26993.57,26843.02,5529.66,1179.72,3312.9,Food,Composting,Compliant,86.7,77.3,1,Weekday,Q1
2583,2023-01-02,Store_023,West,524.87,419.896,298.65,640.68,214.27,22.98,35640.58,37136.88,10715.47,6430.46,356.55,Food,Composting,Compliant,67.6,83.1,1,Weekday,Q1
296,2023-01-02,Store_033,East,983.79,787.032,238.53,1036.85,495.59,62.48,48812.72,28245.16,950.18,419.02,2056.74,Paper,Recycling,Compliant,93.0,89.6,1,Weekday,Q1
13382,2023-01-02,Store_041,East,3808.22,871.85,2842.36,804.74,328.19,58.62,43037.06,6617.4,7347.31,7606.17,502.9,Packaging,Recycling,Compliant,56.1,80.4,1,Weekday,Q1
19009,2023-01-02,Store_041,West,654.99,523.9920000000001,516.6,1331.57,477.31,28.88,24700.54,34345.77,4748.24,4757.04,1938.47,Paper,Composting,Partial,51.1,94.2,1,Weekday,Q1
3114,2023-01-02,Store_014,East,4906.58,4027.71,105.66,24.72,482.21,73.31,17324.71,29217.73,6352.22,9372.71,2723.74,Food,Landfill,Compliant,50.1,75.8,1,Weekday,Q1
13953,2023-01-02,Store_041,Central,4793.43,996.06,2722.48,1238.86,262.38,64.95,2191.43,6902.0,11561.79,2296.2,1829.94,Food,Incineration,Compliant,70.1,81.8,1,Weekday,Q1
10107,2023-01-02,Store_004,South,4097.63,2735.69,723.91,1103.04,191.03,40.25,18497.5,42718.88,3536.78,1661.64,3292.1,Food,Recycling,Compliant,79.4,95.7,1,Weekday,Q1
13908,2023-01-02,Store_005,West,3410.55,173.88,2323.85,838.66,72.99,94.01,44185.43,29021.02,9509.48,4525.0,3457.89,Food,Recycling,Compliant,58.1,91.5,1,Weekday,Q1
16351,2023-01-02,Store_015,West,960.59,768.4720000000001,2529.2,1574.85,206.32,58.57,36976.98,10836.24,11631.21,4158.8,2496.56,Packaging,Recycling,Compliant,65.5,89.7,1,Weekday,Q1
11982,2023-01-02,Store_038,East,963.87,264.79,1702.52,668.67,39.0,72.68,46402.4,10372.72,6548.51,8635.0,104.25,Food,Composting,Partial,52.9,76.3,1,Weekday,Q1
13667,2023-01-02,Store_005,Central,3907.86,2900.6,1244.63,1935.88,371.35,90.29,43932.07,25196.3,1748.95,6611.92,905.37,Packaging,Incineration,Compliant,87.9,95.6,1,Weekday,Q1
13286,2023-01-02,Store_044,North,2173.49,1880.55,1631.65,219.36,39.68,29.41,47012.86,36708.55,11251.82,10882.06,1834.51,Paper,Recycling,Compliant,93.1,83.9,1,Weekday,Q1
19407,2023-01-02,Store_028,East,4620.32,905.33,1326.64,555.84,31.99,82.45,45615.34,33434.47,14071.17,1713.5,4091.35,Food,Recycling,Compliant,82.2,82.4,1,Weekday,Q1
4770,2023-01-02,Store_003,West,2839.22,2060.45,520.71,1599.06,490.01,70.32,30820.78,22811.1,1517.87,10841.16,4450.65,Packaging,Recycling,Compliant,83.1,81.9,1,Weekday,Q1
8435,2023-01-02,Store_022,North,734.8,66.42,1422.06,1651.37,292.03,86.78,15755.34,42239.68,7544.05,4156.3,2661.22,Packaging,Recycling,Compliant,61.6,95.3,1,Weekday,Q1
9716,2023-01-02,Store_025,South,4783.32,249.22,708.86,1472.58,410.55,87.02,36599.9,25711.74,12252.73,8823.11,1004.61,Packaging,Landfill,Compliant,66.1,79.2,1,Weekday,Q1
14285,2023-01-02,Store_034,East,1691.73,1353.384,269.27,1513.55,145.75,59.35,39177.21,2179.16,1771.26,6125.87,3426.12,Food,Recycling,Non-Compliant,67.8,91.7,1,Weekday,Q1
18331,2023-01-02,Store_045,South,4942.57,4039.21,2027.51,1092.59,144.63,49.07,1169.82,6090.85,12655.1,10519.52,884.05,Packaging,Recycling,Partial,99.7,100.0,1,Weekday,Q1
7019,2023-01-02,Store_019,East,2235.65,165.23,1285.45,199.17,270.35,58.24,40034.39,3929.65,4222.04,4780.47,2055.08,Paper,Composting,Compliant,51.6,85.4,1,Weekday,Q1
19085,2023-01-02,Store_007,West,707.94,566.3520000000001,2416.98,73.96,177.46,88.7,49996.47,35537.04,13858.64,5115.65,3525.77,Food,Recycling,Partial,64.7,85.6,1,Weekday,Q1
17648,2023-01-02,Store_037,Central,1831.42,1465.1360000000002,2623.36,1495.44,220.85,20.48,35959.1,32591.18,14880.03,7975.46,1103.88,Packaging,Landfill,Compliant,68.4,80.9,1,Weekday,Q1
18911,2023-01-02,Store_019,South,4325.16,3336.49,1688.3,497.07,401.23,61.58,24062.36,4463.89,7282.79,5421.21,975.27,Food,Recycling,Compliant,98.6,87.1,1,Weekday,Q1
16297,2023-01-02,Store_038,South,228.81,183.048,1778.9,1101.7,239.29,33.76,13016.67,3462.25,10037.66,518.53,2474.4,Packaging,Recycling,Non-Compliant,77.5,76.6,1,Weekday,Q1
11621,2023-01-02,Store_049,Central,1336.86,1248.89,1210.98,776.42,233.5,32.1,3577.77,17122.09,1584.9,3138.93,2297.88,Paper,Recycling,Compliant,60.8,98.5,1,Weekday,Q1
4372,2023-01-02,Store_008,South,1634.56,627.12,1103.72,1729.71,210.16,71.64,45232.79,15629.37,12894.85,8676.78,4062.82,Packaging,Recycling,Non-Compliant,82.6,77.1,1,Weekday,Q1
18646,2023-01-02,Store_032,South,3095.05,2476.0400000000004,1320.61,957.1,48.75,69.45,8005.36,28300.9,13800.34,647.88,1052.68,Paper,Recycling,Compliant,90.0,92.0,1,Weekday,Q1
18278,2023-01-02,Store_011,East,1535.39,1228.3120000000001,2357.51,1659.06,37.16,34.72,40413.9,18984.39,11201.84,10607.57,2686.59,Food,Composting,Compliant,76.8,84.9,1,Weekday,Q1
8147,2023-01-02,Store_012,West,422.9,338.32,206.94,858.07,429.71,61.61,10077.07,27378.43,6688.0,6325.68,2857.24,Packaging,Composting,Compliant,97.6,79.3,1,Weekday,Q1
12769,2023-01-02,Store_001,South,3286.95,2629.56,13.94,235.22,415.38,78.0,18881.73,15760.87,7435.06,168.76,1196.41,Food,Recycling,Compliant,92.5,85.2,1,Weekday,Q1
5149,2023-01-02,Store_028,Central,2916.16,2332.928,1634.25,1124.71,329.33,36.22,37147.64,2106.1,8742.05,2632.27,574.63,Paper,Recycling,Compliant,92.1,97.1,1,Weekday,Q1
13440,2023-01-02,Store_001,West,4810.49,4290.07,1932.41,830.35,435.64,87.32,30897.58,20106.37,1608.27,2462.81,2696.44,Packaging,Composting,Compliant,66.9,81.5,1,Weekday,Q1
15268,2023-01-02,Store_024,Central,3399.63,2472.81,1402.7,1184.74,358.96,55.96,2230.97,1999.15,3772.66,1511.24,1345.3,Food,Recycling,Non-Compliant,75.5,90.0,1,Weekday,Q1
15020,2023-01-02,Store_021,North,1279.94,868.3,17.85,104.82,370.1,78.06,16901.04,10830.36,4512.59,6386.72,1535.87,Packaging,Landfill,Compliant,87.9,83.0,1,Weekday,Q1
11501,2023-01-02,Store_040,East,4559.18,3633.03,141.04,647.87,311.39,57.85,34080.6,19935.7,773.27,1191.65,4164.67,Paper,Recycling,Partial,65.4,76.2,1,Weekday,Q1
14098,2023-01-02,Store_044,Central,3364.35,2691.48,154.91,353.87,44.12,83.27,6284.01,14572.69,6091.4,66.73,3474.07,Packaging,Composting,Compliant,96.8,92.2,1,Weekday,Q1
19785,2023-01-02,Store_016,West,3263.04,2163.95,168.72,675.72,158.05,53.21,30045.9,23163.16,4493.33,5249.64,2121.52,Paper,Composting,Compliant,57.3,84.6,1,Weekday,Q1
4894,2023-01-02,Store_033,Central,2617.8,2094.2400000000002,2452.93,142.69,203.14,29.59,18367.47,11125.58,6516.45,8245.97,1062.54,Food,Composting,Compliant,90.9,77.7,1,Weekday,Q1
3341,2023-01-03,Store_003,East,190.18,152.144,1313.62,160.44,339.74,83.75,37982.31,43992.86,3816.92,8125.76,4858.75,Paper,Recycling,Compliant,53.8,97.2,1,Weekday,Q1
17726,2023-01-03,Store_010,Central,3839.72,170.27,1990.69,1634.24,411.82,33.18,37380.03,44956.05,1216.81,6528.03,2681.11,Packaging,Recycling,Non-Compliant,94.1,86.6,1,Weekday,Q1
16075,2023-01-03,Store_014,East,4067.02,298.38,25.76,1244.9,105.05,32.46,44518.99,1700.13,14864.39,4947.24,1056.02,Plastic,Recycling,Compliant,87.1,89.5,1,Weekday,Q1
19359,2023-01-03,Store_043,North,3560.11,710.87,1196.55,1229.68,317.27,60.63,30374.69,18025.86,2548.24,161.46,4451.06,Packaging,Composting,Compliant,65.7,89.6,1,Weekday,Q1
7287,2023-01-03,Store_029,South,3557.76,2846.2080000000005,9.62,1224.22,204.53,23.64,35821.5,19335.42,7222.28,9355.79,3939.98,Food,Recycling,Compliant,96.2,79.0,1,Weekday,Q1
13267,2023-01-03,Store_012,South,4676.95,1154.17,1708.66,1343.11,448.08,62.85,35155.12,14778.17,9837.24,5518.75,4486.4,Packaging,Composting,Compliant,68.8,87.8,1,Weekday,Q1
7292,2023-01-03,Store_037,Central,4169.78,1153.05,1854.06,122.74,472.03,58.51,30488.63,41993.66,2345.14,5159.42,3643.9,Paper,Composting,Compliant,87.3,93.5,1,Weekday,Q1
11999,2023-01-03,Store_016,Central,673.19,538.552,2845.59,1023.85,341.48,41.84,23947.86,40112.77,3675.02,128.49,1926.77,Food,Composting,Partial,82.5,82.4,1,Weekday,Q1
3303,2023-01-03,Store_021,Central,3368.76,1799.22,2340.86,455.93,40.6,53.41,45307.65,15910.36,10661.34,7332.51,2483.71,Paper,Recycling,Partial,70.3,86.1,1,Weekday,Q1
18511,2023-01-03,Store_037,Central,3710.56,2539.05,2821.07,604.19,437.11,48.62,48939.39,664.1,4222.04,3789.1,4558.31,Food,Incineration,Compliant,91.3,80.6,1,Weekday,Q1
5904,2023-01-03,Store_017,North,3787.13,1314.6,2820.34,1306.27,307.58,93.63,13610.16,3617.22,5717.06,2476.5,3612.25,Packaging,Recycling,Compliant,93.3,75.2,1,Weekday,Q1
4985,2023-01-03,Store_023,East,2989.8,2391.84,2545.51,1369.15,468.92,41.14,18070.76,23233.29,9673.08,800.45,321.87,Packaging,Composting,Compliant,70.5,86.7,1,Weekday,Q1
661,2023-01-03,Store_038,South,2585.56,863.34,2452.65,1307.43,290.95,28.69,13050.04,5235.67,13959.67,86.34,4459.75,Packaging,Recycling,Non-Compliant,96.9,89.3,1,Weekday,Q1
19467,2023-01-03,Store_020,South,3451.29,3193.7,1037.61,1752.64,225.26,93.64,8353.55,6583.69,4970.09,3249.06,3520.09,Packaging,Landfill,Non-Compliant,95.5,80.0,1,Weekday,Q1
9659,2023-01-03,Store_049,East,4912.53,3110.14,411.24,365.91,49.27,75.17,40240.91,29914.54,11386.13,6337.17,3226.61,Plastic,Landfill,Compliant,66.0,97.8,1,Weekday,Q1
12577,2023-01-03,Store_034,East,4509.24,475.63,1774.25,420.38,484.34,20.61,39917.09,10092.97,12927.73,8747.05,2141.03,Plastic,Incineration,Partial,65.4,76.2,1,Weekday,Q1
10969,2023-01-03,Store_050,East,659.01,527.208,2688.2,232.7,398.08,75.74,49669.18,2032.52,14141.88,4708.33,4236.29,Packaging,Landfill,Compliant,69.4,87.9,1,Weekday,Q1
17946,2023-01-03,Store_039,West,2530.23,2145.69,291.46,1447.7,228.59,78.73,32332.59,4818.42,11755.55,6139.88,2952.55,Packaging,Composting,Compliant,59.3,87.4,1,Weekday,Q1
19436,2023-01-03,Store_007,West,757.7,606.1600000000001,2179.46,175.67,270.34,38.55,41197.16,34256.54,8958.1,9444.13,1236.0,Packaging,Composting,Non-Compliant,69.2,92.4,1,Weekday,Q1
403,2023-01-03,Store_029,Central,2932.27,2331.49,1517.12,565.66,170.59,29.31,22718.45,8253.97,9046.19,6678.31,1711.31,Packaging,Recycling,Compliant,98.9,95.8,1,Weekday,Q1
4872,2023-01-03,Store_038,South,2595.99,775.86,1139.5,1118.8,98.79,61.46,41884.13,31071.79,7706.13,2938.14,998.8,Paper,Recycling,Compliant,69.7,83.0,1,Weekday,Q1
9888,2023-01-03,Store_044,North,3407.31,1761.99,1704.51,1277.57,464.41,88.12,25871.7,38379.31,11225.63,168.3,4932.49,Paper,Recycling,Compliant,92.7,96.2,1,Weekday,Q1
3633,2023-01-03,Store_019,South,4191.92,3392.38,1411.98,42.18,300.91,20.76,15054.63,13356.82,12723.93,10051.39,1355.33,Food,Composting,Compliant,72.4,91.0,1,Weekday,Q1
14796,2023-01-03,Store_014,North,504.63,403.704,2044.68,179.92,465.19,27.21,17862.41,18763.39,1397.87,1348.3,2056.29,Food,Composting,Non-Compliant,64.8,75.8,1,Weekday,Q1
1077,2023-01-03,Store_009,North,2671.22,1220.88,1391.57,494.31,244.65,48.84,11545.97,7594.3,5852.01,657.7,3187.47,Packaging,Composting,Compliant,86.4,95.3,1,Weekday,Q1
6572,2023-01-03,Store_004,Central,3691.81,2953.4480000000003,2274.99,828.18,367.77,88.59,35537.82,41742.42,1936.88,4491.96,1370.25,Paper,Composting,Compliant,86.2,76.6,1,Weekday,Q1
10901,2023-01-03,Store_027,Central,4534.37,3846.57,355.6,1949.87,433.22,65.28,41092.85,37171.56,12055.64,2068.72,204.3,Packaging,Composting,Non-Compliant,74.4,98.1,1,Weekday,Q1
19678,2023-01-03,Store_042,Central,676.69,541.3520000000001,194.57,200.58,127.11,61.48,29240.0,699.6,11860.43,1478.86,508.97,Paper,Recycling,Compliant,73.3,99.3,1,Weekday,Q1
9047,2023-01-03,Store_036,West,1204.61,963.688,1831.62,857.02,5.91,55.04,42785.61,10361.16,7006.68,11211.02,4742.84,Paper,Recycling,Compliant,59.6,82.8,1,Weekday,Q1
14821,2023-01-03,Store_039,South,3514.51,2096.71,2627.07,859.44,2.36,64.73,13256.94,30166.67,6021.28,9488.59,1074.24,Plastic,Composting,Compliant,90.7,76.7,1,Weekday,Q1
19038,2023-01-03,Store_009,South,4182.31,4122.67,475.99,1285.4,304.24,60.04,4847.99,3967.15,1155.53,4187.69,1861.78,Food,Recycling,Compliant,59.9,80.1,1,Weekday,Q1
7765,2023-01-03,Store_023,South,3473.82,2779.0560000000005,1717.52,1283.6,73.02,66.59,37792.56,13748.43,5685.52,3532.75,1204.2,Food,Recycling,Compliant,72.0,76.4,1,Weekday,Q1
14840,2023-01-03,Store_009,South,4832.94,1584.86,1680.0,1969.1,485.74,28.61,8542.76,6341.14,6175.78,7376.74,3704.36,Packaging,Recycling,Partial,65.2,76.1,1,Weekday,Q1
10040,2023-01-03,Store_017,East,2957.83,903.24,1541.1,80.02,221.8,41.28,35353.73,37142.49,11458.42,10198.66,3384.41,Paper,Composting,Compliant,94.7,79.7,1,Weekday,Q1
18824,2023-01-03,Store_043,East,3521.55,679.09,525.26,1379.65,210.05,39.54,44496.46,27231.48,8404.23,3310.22,1235.98,Packaging,Recycling,Compliant,95.3,83.1,1,Weekday,Q1
9075,2023-01-03,Store_008,Central,827.16,661.7280000000001,1595.69,1718.32,224.63,70.61,10618.6,25116.79,6676.14,2187.83,1074.35,Packaging,Composting,Compliant,68.1,78.2,1,Weekday,Q1
16002,2023-01-03,Store_027,West,3865.89,1044.02,645.05,831.38,147.35,89.42,9274.57,23498.96,581.03,8631.76,3107.29,Packaging,Composting,Non-Compliant,87.6,80.3,1,Weekday,Q1
11453,2023-01-03,Store_046,Central,1641.76,1313.4080000000001,1314.33,139.69,276.78,35.97,29643.94,26433.4,9195.05,5489.58,3593.24,Plastic,Composting,Compliant,63.0,94.1,1,Weekday,Q1
16385,2023-01-03,Store_040,West,1113.25,890.6,2678.79,501.0,98.33,26.43,26573.02,24141.17,1710.21,1982.76,1013.46,Paper,Landfill,Partial,76.9,92.5,1,Weekday,Q1
4207,2023-01-03,Store_030,Central,4598.62,2308.52,2068.36,574.36,56.36,35.7,40927.79,39320.99,12210.46,2001.94,556.62,Packaging,Incineration,Compliant,81.5,81.8,1,Weekday,Q1
15224,2023-01-03,Store_034,Central,2313.79,1379.57,232.94,166.58,193.17,64.37,23513.62,8853.89,10193.31,7723.86,221.37,Paper,Composting,Compliant,69.8,81.5,1,Weekday,Q1
1390,2023-01-03,Store_005,South,3273.45,1889.68,533.46,1521.86,158.43,60.46,42288.27,13822.91,5392.9,8575.49,1029.61,Paper,Composting,Non-Compliant,64.7,77.7,1,Weekday,Q1
1491,2023-01-03,Store_043,South,4482.86,3479.07,1995.89,1930.11,107.87,94.0,35942.81,43936.75,6211.12,8950.38,3719.5,Plastic,Incineration,Compliant,95.5,96.9,1,Weekday,Q1
