Record_ID,Date,Store_Location,Region,Board_Size,Board_Independence_%,Women_on_Board_%,Executive_Diversity_%,Avg_Board_Tenure_years,Ethics_Training_Completion_%,Ethics_Violations_Reported,Corruption_Incidents,Whistleblower_Reports,Code_of_Conduct_Violations,Internal_Audit_Findings,External_Audit_Findings,Compliance_Violations,Regulatory_Penalties_usd,Risk_Management_Score,Data_Breach_Incidents,Privacy_Violation_Reports,GDPR_Compliance_%,Data_Protection_Score,Cybersecurity_Investment_usd,Governance_Category,Policy_Status,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
14096,2023-01-01,Store_036,North,13,59.45,40.53,47.13,12.3,84.54,4,4,4,0,13,1,4,19596,54.6,0,1,70.42,96.9,354161,Ethics,Implemented,Compliant,81.4,95.6,1,Weekend,Q1
4732,2023-01-01,Store_023,North,13,81.97,24.54,25.87,4.8,71.9,7,3,1,2,2,3,4,14436,92.2,2,4,98.29,99.0,323044,Audit,Implemented,Compliant,97.4,85.7,1,Weekend,Q1
5680,2023-01-01,Store_013,North,13,40.18,18.88,16.86,13.5,94.3,8,1,4,0,11,7,0,96668,40.4,1,4,98.64,62.7,193659,Risk,Implemented,Partial,51.7,79.2,1,Weekend,Q1
18925,2023-01-01,Store_048,East,8,39.18,48.72,15.69,2.1,97.58,2,2,0,2,9,1,7,13315,72.0,2,2,80.87,75.4,216194,Board,Implemented,Partial,81.4,99.1,1,Weekend,Q1
3615,2023-01-01,Store_028,West,7,69.95,26.49,51.58,5.6,89.56,5,1,1,3,10,6,2,67471,87.2,2,4,95.54,85.7,467800,Audit,Implemented,Compliant,79.3,96.5,1,Weekend,Q1
7597,2023-01-01,Store_038,Central,14,97.08,14.33,36.66,8.9,83.08,3,1,6,0,7,3,0,46865,81.0,0,3,77.35,55.4,137158,Ethics,Implemented,Compliant,92.7,97.0,1,Weekend,Q1
5695,2023-01-01,Store_027,East,10,64.46,29.37,23.98,4.7,87.01,8,3,4,4,13,0,2,91667,96.5,0,4,78.5,90.4,452841,Audit,Implemented,Compliant,91.2,88.9,1,Weekend,Q1
5684,2023-01-01,Store_031,North,8,85.65,5.94,11.66,9.7,73.35,5,2,3,2,10,0,5,84471,85.6,2,4,72.01,82.8,119723,Audit,Implemented,Partial,98.1,96.5,1,Weekend,Q1
13418,2023-01-01,Store_040,South,5,46.21,14.39,32.43,7.1,80.41,8,1,5,1,9,9,1,57317,79.3,1,1,72.68,51.4,327893,Audit,Implemented,Compliant,70.2,86.4,1,Weekend,Q1
4217,2023-01-01,Store_013,West,14,59.21,21.18,33.28,4.8,90.66,4,1,3,0,7,1,6,65790,89.5,0,2,77.38,59.9,224300,Ethics,Implemented,Compliant,66.7,78.8,1,Weekend,Q1
8864,2023-01-01,Store_010,South,12,40.16,12.22,43.53,11.0,82.39,2,0,4,2,6,9,4,1013,71.6,1,4,74.68,55.1,72451,Ethics,Implemented,Non-Compliant,70.4,78.9,1,Weekend,Q1
4637,2023-01-01,Store_026,South,9,49.86,8.93,57.18,6.1,85.87,5,1,6,1,3,6,2,91911,68.7,0,1,71.87,64.3,65209,Board,Implemented,Compliant,54.3,92.9,1,Weekend,Q1
2213,2023-01-01,Store_026,East,5,43.2,49.99,52.59,14.7,89.21,5,2,2,5,0,0,7,16319,95.4,0,1,73.7,91.9,99694,Ethics,Under Review,Compliant,74.9,88.4,1,Weekend,Q1
1345,2023-01-01,Store_011,North,6,51.75,44.77,27.43,1.5,97.09,9,1,2,4,5,5,0,23042,55.3,1,0,85.63,59.3,94893,Privacy,Implemented,Compliant,65.5,87.6,1,Weekend,Q1
18798,2023-01-01,Store_047,Central,7,97.02,7.72,30.45,13.6,90.85,9,4,5,0,10,6,1,61571,81.5,2,3,87.88,65.6,247970,Ethics,Implemented,Compliant,54.0,86.4,1,Weekend,Q1
9548,2023-01-01,Store_001,South,14,56.81,11.48,51.24,1.5,73.27,5,0,3,3,5,8,5,26920,87.3,2,4,70.67,88.8,446242,Risk,Under Review,Compliant,55.2,97.0,1,Weekend,Q1
13543,2023-01-01,Store_003,South,6,66.36,24.13,34.05,2.0,98.86,1,0,5,3,5,8,7,62569,91.8,2,4,84.32,61.6,243171,Audit,Implemented,Compliant,57.9,83.8,1,Weekend,Q1
3414,2023-01-01,Store_022,West,6,87.3,42.77,34.75,11.6,91.64,2,4,6,0,1,2,1,15939,53.4,0,2,85.03,93.5,176766,Audit,Implemented,Compliant,85.0,92.0,1,Weekend,Q1
1465,2023-01-01,Store_019,North,14,56.92,33.59,43.14,5.1,91.27,8,2,5,0,1,5,7,56735,70.9,1,4,89.59,54.1,148291,Risk,Implemented,Compliant,80.0,92.5,1,Weekend,Q1
14263,2023-01-01,Store_038,West,12,77.38,40.14,50.44,7.3,77.1,4,0,5,5,2,4,5,83020,77.2,0,2,96.11,62.1,227176,Audit,Implemented,Partial,71.6,75.9,1,Weekend,Q1
19177,2023-01-01,Store_029,West,14,45.24,41.13,41.77,4.7,80.97,3,2,2,2,5,5,7,92169,53.9,1,2,74.19,70.1,237418,Audit,Under Review,Partial,99.3,76.2,1,Weekend,Q1
16518,2023-01-01,Store_048,Central,6,95.63,28.62,47.18,4.8,88.72,2,3,6,0,12,2,5,73480,53.9,0,4,75.85,72.8,270332,Audit,Implemented,Compliant,61.6,90.7,1,Weekend,Q1
1690,2023-01-01,Store_001,Central,13,63.21,21.34,50.92,6.0,76.65,6,4,4,0,6,7,6,72052,77.0,2,4,70.94,54.5,146594,Board,Implemented,Partial,53.9,89.6,1,Weekend,Q1
14065,2023-01-01,Store_025,North,14,68.84,8.31,22.37,8.7,88.56,5,2,1,5,11,4,6,52025,75.1,0,0,87.72,60.7,87133,Audit,Implemented,Compliant,70.1,86.3,1,Weekend,Q1
11097,2023-01-01,Store_012,Central,9,45.92,4.69,19.6,14.4,79.94,3,2,6,5,5,6,0,11379,46.2,0,3,86.06,81.6,123471,Audit,Under Review,Compliant,82.4,98.5,1,Weekend,Q1
14878,2023-01-01,Store_017,West,9,67.25,0.88,16.33,8.5,99.84,1,3,2,0,13,4,5,92018,88.8,0,0,94.11,57.6,55796,Risk,Pending,Non-Compliant,54.4,87.5,1,Weekend,Q1
1029,2023-01-01,Store_030,South,13,98.07,16.94,31.77,14.6,72.33,0,1,4,1,13,2,1,86334,94.4,1,2,73.98,63.0,162434,Audit,Under Review,Compliant,86.0,83.6,1,Weekend,Q1
14062,2023-01-01,Store_011,Central,6,98.97,40.98,57.42,2.0,74.3,8,4,5,3,6,6,3,53826,83.7,1,1,90.44,83.7,183875,Ethics,Under Review,Compliant,89.4,77.7,1,Weekend,Q1
7096,2023-01-01,Store_006,South,9,44.64,21.69,31.76,7.9,76.23,0,4,4,0,5,3,5,71268,83.4,1,2,99.5,53.4,226165,Ethics,Implemented,Compliant,74.0,77.9,1,Weekend,Q1
417,2023-01-01,Store_019,South,10,94.33,44.65,48.7,14.6,82.99,4,4,0,3,8,4,4,79892,96.9,1,0,82.32,71.2,276001,Audit,Pending,Non-Compliant,75.6,80.2,1,Weekend,Q1
6941,2023-01-01,Store_014,North,7,79.39,24.29,56.26,9.7,90.81,5,0,3,4,9,5,7,66119,71.3,2,3,84.36,96.2,110619,Ethics,Implemented,Compliant,77.3,81.7,1,Weekend,Q1
19434,2023-01-01,Store_015,West,9,90.04,3.9,22.32,3.0,77.26,0,4,4,5,7,0,7,85774,67.9,0,3,89.63,72.4,303874,Privacy,Implemented,Compliant,95.1,75.8,1,Weekend,Q1
12762,2023-01-01,Store_049,East,8,37.44,24.57,19.61,13.1,72.04,0,0,1,3,1,0,0,5793,74.9,1,0,84.1,81.7,27521,Ethics,Implemented,Compliant,71.9,98.2,1,Weekend,Q1
3279,2023-01-01,Store_032,Central,9,43.27,4.87,55.58,8.3,84.25,5,0,3,4,9,6,0,36881,99.5,2,2,98.41,89.2,466238,Privacy,Implemented,Non-Compliant,92.5,98.7,1,Weekend,Q1
683,2023-01-01,Store_007,East,11,42.4,33.7,51.05,6.5,83.52,2,2,1,0,13,2,2,12343,69.0,1,0,94.74,56.8,191971,Board,Implemented,Compliant,70.7,81.2,1,Weekend,Q1
19260,2023-01-03,Store_013,North,12,32.89,26.06,49.31,9.0,96.85,2,4,4,0,6,9,2,63080,44.2,1,2,93.5,93.5,149650,Audit,Implemented,Compliant,74.0,98.4,1,Weekday,Q1
3750,2023-01-03,Store_028,East,5,82.8,47.91,43.89,13.9,79.75,8,0,2,2,8,0,5,95129,47.9,1,2,75.5,65.0,432684,Board,Implemented,Non-Compliant,81.9,91.0,1,Weekday,Q1
11337,2023-01-03,Store_047,West,6,30.19,23.23,10.67,4.3,90.68,4,2,7,4,6,6,0,98197,66.2,0,0,95.99,97.0,452435,Ethics,Implemented,Non-Compliant,66.4,88.5,1,Weekday,Q1
19448,2023-01-03,Store_014,South,6,97.96,10.21,16.66,9.6,72.23,6,2,6,1,2,7,2,76651,40.3,1,1,91.05,99.8,128487,Risk,Implemented,Partial,64.9,78.5,1,Weekday,Q1
13478,2023-01-03,Store_015,East,9,71.64,1.67,45.69,10.8,84.35,7,4,7,0,1,8,3,4216,56.7,0,4,90.87,52.2,264382,Ethics,Implemented,Compliant,76.0,79.3,1,Weekday,Q1
7084,2023-01-03,Store_013,North,10,53.12,22.29,56.0,7.5,76.17,9,3,3,3,11,7,4,78235,58.6,0,1,82.59,55.6,148306,Privacy,Implemented,Compliant,51.0,96.7,1,Weekday,Q1
15432,2023-01-03,Store_034,East,6,93.04,7.05,13.44,12.6,76.86,5,1,6,4,14,6,0,30445,93.5,1,4,97.4,63.5,205546,Ethics,Pending,Compliant,68.9,75.3,1,Weekday,Q1
5757,2023-01-03,Store_034,Central,5,61.33,9.39,35.75,3.5,89.03,8,0,1,1,8,7,1,81094,51.2,0,3,82.85,94.4,330246,Ethics,Under Review,Compliant,70.2,80.5,1,Weekday,Q1
568,2023-01-03,Store_029,Central,14,60.94,26.27,14.42,11.9,98.39,3,4,6,3,13,2,3,75141,72.4,2,0,76.08,88.0,114060,Ethics,Under Review,Compliant,96.3,76.6,1,Weekday,Q1
3235,2023-01-03,Store_035,North,11,66.16,6.09,38.57,12.4,99.81,1,1,0,5,4,1,0,12908,62.8,0,0,82.26,94.8,38476,Board,Implemented,Partial,67.1,76.4,1,Weekday,Q1
4483,2023-01-03,Store_003,East,5,54.56,44.36,49.78,8.4,93.23,4,3,2,1,9,8,5,44198,72.7,2,3,99.65,92.7,66629,Risk,Implemented,Compliant,59.7,86.0,1,Weekday,Q1
3050,2023-01-03,Store_007,Central,14,34.32,11.78,56.59,14.2,85.55,5,0,0,5,13,0,2,37280,70.4,1,4,70.43,64.8,228124,Board,Under Review,Compliant,71.9,97.6,1,Weekday,Q1
430,2023-01-03,Store_005,South,9,53.01,41.56,59.27,2.7,98.55,0,2,4,2,4,8,4,27807,95.5,1,2,97.65,82.1,148290,Board,Pending,Compliant,66.9,80.1,1,Weekday,Q1
5276,2023-01-03,Store_045,East,5,52.44,13.85,26.0,13.0,96.9,1,0,2,0,6,7,7,73841,86.0,1,3,93.28,60.1,258607,Ethics,Implemented,Compliant,76.2,85.0,1,Weekday,Q1
7575,2023-01-03,Store_035,East,6,45.01,38.69,24.12,6.8,88.06,0,3,4,1,8,3,3,17931,45.5,2,0,76.36,97.6,139649,Board,Implemented,Compliant,81.7,75.6,1,Weekday,Q1
10831,2023-01-03,Store_034,West,14,59.97,32.56,25.88,4.9,99.2,9,1,6,0,1,1,7,13518,70.7,0,1,79.94,85.7,397873,Privacy,Implemented,Compliant,71.5,92.2,1,Weekday,Q1
3065,2023-01-03,Store_046,West,10,82.36,45.11,51.33,10.4,83.76,6,2,2,1,2,6,7,81561,59.2,1,4,73.2,68.5,484419,Ethics,Pending,Compliant,95.4,85.0,1,Weekday,Q1
2165,2023-01-03,Store_049,West,7,99.05,11.86,40.96,11.6,86.23,2,1,3,4,5,1,7,76952,82.0,1,1,93.11,92.6,30467,Ethics,Implemented,Partial,55.4,76.8,1,Weekday,Q1
208,2023-01-03,Store_022,North,13,84.66,3.29,51.64,2.2,90.31,7,4,2,1,0,2,1,43778,77.8,0,2,96.41,97.8,51169,Board,Implemented,Non-Compliant,94.4,94.8,1,Weekday,Q1
5739,2023-01-03,Store_024,East,10,31.01,10.58,29.08,10.6,86.35,1,4,0,0,9,3,0,48562,41.1,1,0,73.93,65.6,10395,Audit,Implemented,Compliant,62.9,88.1,1,Weekday,Q1
2076,2023-01-03,Store_045,West,9,46.3,23.77,53.84,5.4,72.66,1,0,0,3,12,5,0,11157,49.7,1,4,80.23,70.0,450241,Audit,Implemented,Compliant,51.8,91.5,1,Weekday,Q1
13854,2023-01-03,Store_023,North,11,65.9,31.3,21.83,2.5,74.69,3,0,0,2,4,9,6,47073,91.7,1,0,88.09,84.3,101591,Audit,Under Review,Non-Compliant,61.9,75.4,1,Weekday,Q1
19651,2023-01-03,Store_026,South,12,68.91,19.04,43.86,2.4,70.09,6,3,5,2,6,3,5,41677,93.5,1,0,70.19,64.2,192010,Audit,Implemented,Compliant,61.4,75.2,1,Weekday,Q1
3973,2023-01-03,Store_031,South,10,57.59,30.25,19.82,9.9,75.83,7,4,6,5,3,4,7,37871,63.8,0,3,78.73,57.5,473349,Audit,Implemented,Compliant,93.9,86.9,1,Weekday,Q1
9922,2023-01-03,Store_001,West,11,31.09,1.4,41.33,3.2,78.89,1,2,1,0,6,2,6,78215,48.6,1,2,80.68,84.5,454158,Audit,Implemented,Partial,50.4,76.6,1,Weekday,Q1
1304,2023-01-03,Store_041,South,9,40.7,23.49,46.69,9.7,75.5,2,1,4,3,3,6,3,38221,86.5,0,3,94.39,74.0,35931,Board,Implemented,Partial,62.7,93.1,1,Weekday,Q1
16650,2023-01-03,Store_026,West,6,31.21,3.34,16.63,4.5,77.78,1,2,3,1,8,2,6,81528,73.9,1,1,82.15,85.7,337565,Audit,Implemented,Compliant,53.3,97.0,1,Weekday,Q1
15961,2023-01-03,Store_017,Central,6,98.42,45.68,15.77,4.5,93.11,2,0,6,2,1,3,2,14739,96.3,2,1,77.01,85.9,73904,Audit,Implemented,Non-Compliant,52.0,76.5,1,Weekday,Q1
18697,2023-01-03,Store_008,East,13,31.23,15.4,12.42,7.6,76.45,0,4,7,2,0,7,4,46383,77.0,2,1,78.28,69.8,192196,Ethics,Implemented,Compliant,91.7,87.0,1,Weekday,Q1
16484,2023-01-03,Store_029,West,5,42.33,35.68,26.35,10.0,85.19,6,4,3,0,7,7,4,46588,69.0,0,1,91.45,50.7,256542,Ethics,Implemented,Compliant,54.3,95.4,1,Weekday,Q1
8250,2023-01-03,Store_032,West,6,63.53,43.75,49.8,6.1,80.82,1,1,5,3,6,8,3,37254,62.9,0,0,94.47,81.9,170969,Ethics,Implemented,Compliant,56.1,83.1,1,Weekday,Q1
19956,2023-01-03,Store_029,North,5,85.78,9.35,11.89,14.3,79.97,6,4,7,5,14,7,3,79273,45.8,0,4,76.53,78.0,22292,Risk,Implemented,Non-Compliant,52.5,87.2,1,Weekday,Q1
9121,2023-01-03,Store_033,East,12,87.54,8.4,52.37,1.8,73.9,8,2,3,2,2,1,6,89767,41.0,1,3,91.82,90.7,292630,Privacy,Implemented,Non-Compliant,75.3,94.9,1,Weekday,Q1
8229,2023-01-03,Store_019,South,12,84.03,15.66,10.11,13.3,77.52,5,4,1,2,10,8,1,40244,90.7,1,1,82.61,100.0,446149,Risk,Implemented,Compliant,76.7,98.8,1,Weekday,Q1
15163,2023-01-03,Store_043,North,14,57.8,1.99,49.78,14.4,92.61,4,1,1,2,10,5,7,2292,93.3,1,0,70.85,98.3,11551,Ethics,Implemented,Non-Compliant,99.6,83.5,1,Weekday,Q1
9129,2023-01-03,Store_012,Central,9,44.63,13.83,21.53,4.8,96.92,1,0,2,1,11,4,3,72439,58.7,1,4,77.94,78.9,338367,Privacy,Implemented,Compliant,81.4,96.7,1,Weekday,Q1
10079,2023-01-03,Store_022,North,11,95.46,0.65,20.45,5.2,97.48,1,2,6,5,13,3,1,9694,65.1,1,4,76.44,83.8,196773,Risk,Implemented,Non-Compliant,97.8,86.4,1,Weekday,Q1
19636,2023-01-03,Store_017,North,9,98.16,34.43,18.06,8.1,95.6,7,3,5,5,6,4,1,63253,95.0,1,4,81.52,61.4,352623,Risk,Implemented,Compliant,84.7,81.0,1,Weekday,Q1
10416,2023-01-03,Store_018,North,6,98.71,29.96,44.41,5.9,88.97,0,2,6,4,7,2,0,55849,47.4,2,0,84.06,50.5,246429,Audit,Implemented,Non-Compliant,69.1,78.5,1,Weekday,Q1
7234,2023-01-03,Store_008,South,12,94.44,11.0,34.25,4.4,81.49,6,0,3,4,9,1,7,54454,81.3,1,0,96.52,83.9,147087,Board,Pending,Compliant,60.6,95.7,1,Weekday,Q1
737,2023-01-03,Store_009,West,12,54.45,15.47,52.71,9.3,90.3,3,3,2,2,7,1,7,20487,73.3,1,0,77.69,83.6,139879,Privacy,Under Review,Compliant,65.8,90.1,1,Weekday,Q1
3040,2023-01-03,Store_040,North,11,90.74,15.96,46.98,14.4,91.67,7,2,5,0,12,4,0,13244,51.2,0,3,87.82,61.7,468008,Risk,Pending,Partial,64.6,82.4,1,Weekday,Q1
6469,2023-01-03,Store_043,East,14,68.64,1.54,21.59,12.3,88.57,0,2,3,2,11,5,4,81961,83.3,1,0,95.29,87.7,421060,Ethics,Implemented,Non-Compliant,60.9,97.9,1,Weekday,Q1
15638,2023-01-03,Store_027,Central,7,70.53,27.61,30.44,4.9,82.38,3,4,0,3,7,3,3,10999,93.4,0,4,83.67,73.6,96142,Board,Implemented,Compliant,50.7,93.4,1,Weekday,Q1
15822,2023-01-03,Store_005,North,12,50.14,7.29,15.35,13.8,99.3,6,3,0,1,5,2,0,36144,91.8,2,2,98.33,89.1,41079,Audit,Implemented,Partial,81.7,96.6,1,Weekday,Q1
774,2023-01-03,Store_023,South,5,84.06,8.18,58.44,3.3,99.16,0,3,2,0,9,8,2,9810,65.7,0,2,87.01,77.6,459149,Risk,Under Review,Partial,86.7,81.7,1,Weekday,Q1
11593,2023-01-03,Store_025,West,12,77.23,36.84,16.88,9.4,78.91,4,3,2,0,5,7,7,35855,40.1,0,3,88.28,81.6,232267,Board,Implemented,Partial,50.7,84.9,1,Weekday,Q1
8719,2023-01-03,Store_003,North,14,73.49,3.51,49.96,4.1,82.87,3,0,6,5,14,8,0,40605,53.3,1,3,71.16,53.5,298991,Audit,Under Review,Non-Compliant,59.1,77.7,1,Weekday,Q1
9627,2023-01-03,Store_035,South,6,48.91,28.27,46.65,8.5,78.82,1,2,1,1,8,6,0,63200,45.7,1,2,76.8,57.0,490150,Risk,Implemented,Compliant,59.6,80.3,1,Weekday,Q1
12998,2023-01-03,Store_011,East,9,59.47,23.27,19.3,11.3,76.45,3,2,3,0,9,4,5,44546,74.2,1,2,71.38,79.4,472594,Risk,Implemented,Compliant,69.3,85.4,1,Weekday,Q1
18675,2023-01-03,Store_028,West,8,94.14,23.07,25.17,12.4,77.29,3,4,4,4,8,4,1,15307,59.8,0,3,82.1,57.4,496125,Ethics,Implemented,Compliant,88.7,94.6,1,Weekday,Q1
9169,2023-01-03,Store_027,East,8,35.63,49.33,35.24,12.1,80.86,5,4,3,3,0,4,7,3380,79.7,0,2,72.71,70.3,54885,Audit,Under Review,Partial,92.9,84.3,1,Weekday,Q1
12979,2023-01-03,Store_043,East,14,42.1,23.59,31.18,12.0,85.63,8,4,2,2,5,6,2,61501,78.7,0,1,85.19,92.4,73239,Risk,Implemented,Partial,55.2,95.0,1,Weekday,Q1
14710,2023-01-03,Store_037,West,6,79.76,8.74,54.29,9.7,96.66,4,2,0,4,10,8,0,5647,69.4,2,3,86.74,71.5,300361,Board,Implemented,Compliant,76.3,88.5,1,Weekday,Q1
11791,2023-01-04,Store_029,Central,5,67.91,3.7,51.34,2.6,85.19,9,0,0,2,6,9,3,89294,44.7,2,1,94.69,93.0,156965,Risk,Implemented,Non-Compliant,74.9,90.6,1,Weekday,Q1
14129,2023-01-04,Store_043,North,12,49.0,31.33,47.54,12.7,85.1,1,0,4,2,2,5,1,27386,92.3,0,0,85.05,79.3,228344,Privacy,Implemented,Compliant,59.5,80.2,1,Weekday,Q1
9357,2023-01-04,Store_045,South,10,47.87,20.26,10.33,2.0,79.89,4,4,0,3,8,7,5,81206,69.1,2,2,90.73,84.1,353098,Board,Implemented,Partial,91.8,87.1,1,Weekday,Q1
17906,2023-01-04,Store_032,West,11,80.09,42.15,35.27,13.1,87.06,2,2,5,0,11,8,4,51926,67.0,1,4,71.33,80.8,263093,Ethics,Implemented,Non-Compliant,55.2,96.5,1,Weekday,Q1
18047,2023-01-04,Store_046,Central,5,44.55,34.11,47.21,1.6,97.74,7,4,6,3,0,9,4,19694,78.7,0,0,92.09,79.0,454466,Ethics,Implemented,Compliant,65.4,93.8,1,Weekday,Q1
4872,2023-01-04,Store_030,West,12,63.93,26.98,44.03,13.9,83.17,0,2,7,5,3,2,6,20533,57.6,0,2,72.31,99.2,144068,Ethics,Under Review,Compliant,74.0,99.3,1,Weekday,Q1
7422,2023-01-04,Store_029,South,7,87.34,46.33,38.03,3.0,85.75,1,2,3,4,4,7,3,57833,69.5,1,3,90.92,70.4,315221,Ethics,Implemented,Partial,77.2,83.5,1,Weekday,Q1
4678,2023-01-04,Store_039,Central,12,81.28,31.53,33.08,11.2,85.96,4,2,4,2,6,6,6,51439,96.1,1,0,80.43,96.4,278841,Audit,Implemented,Non-Compliant,50.9,81.1,1,Weekday,Q1
9419,2023-01-04,Store_032,Central,6,35.31,38.29,55.83,7.3,81.5,1,3,1,1,7,6,3,61820,68.7,1,1,73.64,55.3,112862,Board,Implemented,Compliant,97.4,81.4,1,Weekday,Q1
12139,2023-01-04,Store_031,West,12,40.84,35.17,32.41,3.7,97.97,8,4,7,4,11,5,7,43371,51.4,0,3,98.53,70.7,219410,Ethics,Under Review,Compliant,96.7,79.9,1,Weekday,Q1
10954,2023-01-04,Store_029,Central,11,88.97,27.58,39.18,14.5,81.39,3,1,2,5,5,4,5,44010,58.5,0,2,87.22,97.6,373164,Audit,Implemented,Non-Compliant,66.8,99.6,1,Weekday,Q1
5996,2023-01-04,Store_049,West,7,99.77,23.05,44.95,13.1,98.74,4,4,0,2,14,3,2,17408,42.7,1,3,82.68,72.3,46147,Privacy,Under Review,Compliant,56.8,98.5,1,Weekday,Q1
4653,2023-01-04,Store_041,Central,6,31.95,31.86,42.65,9.5,83.36,7,0,0,1,9,5,0,32330,74.4,0,1,88.65,79.7,86129,Ethics,Pending,Compliant,56.1,83.9,1,Weekday,Q1
7031,2023-01-04,Store_038,West,10,89.74,15.02,56.61,2.0,71.98,9,1,0,2,12,5,0,51513,81.4,1,4,86.72,61.9,105195,Audit,Implemented,Compliant,93.2,76.4,1,Weekday,Q1
18285,2023-01-04,Store_032,North,10,33.3,1.75,44.89,10.4,94.24,7,0,4,5,4,0,3,53527,89.8,1,1,82.21,59.8,14439,Risk,Implemented,Compliant,82.6,97.9,1,Weekday,Q1
11311,2023-01-04,Store_004,West,12,53.91,46.54,40.75,11.4,98.61,4,0,0,2,4,4,3,88597,84.5,1,0,79.12,77.0,219214,Board,Implemented,Non-Compliant,82.2,86.7,1,Weekday,Q1
17386,2023-01-04,Store_004,West,11,91.34,30.02,54.64,12.3,91.39,6,4,1,5,14,9,5,62364,99.0,2,4,72.84,97.5,472432,Audit,Implemented,Partial,77.0,93.1,1,Weekday,Q1
6471,2023-01-04,Store_022,West,6,38.22,38.69,28.62,8.3,72.47,4,2,0,4,10,7,0,24475,87.8,0,3,84.11,76.3,261391,Ethics,Implemented,Compliant,77.5,75.2,1,Weekday,Q1
